Unnamed: 0,ts_code,trade_date,open,close,high,low,pre_close,vol
202,SPX,20220609,4101.65,4017.82,4119.1,4017.17,4115.77,2061087.0
203,SPX,20220608,4147.12,4115.77,4160.14,4107.2,4160.68,1888845.0
204,SPX,20220607,4096.47,4160.68,4164.86,4080.19,4121.43,1964102.0
205,SPX,20220606,4134.72,4121.43,4168.78,4109.18,4108.54,1919840.0
206,SPX,20220603,4137.57,4108.54,4142.67,4098.67,4176.82,1879610.0
207,SPX,20220602,4095.41,4176.82,4177.51,4074.37,4101.23,2073390.0
208,SPX,20220601,4149.78,4101.23,4166.54,4073.85,4132.15,2171496.0
209,SPX,20220531,4151.09,4132.15,4168.34,4104.88,4158.24,3802655.0
210,SPX,20220527,4077.43,4158.24,4158.49,4077.43,4057.84,2166465.0
211,SPX,20220526,3984.6,4057.84,4075.14,3984.6,3978.73,2403571.0
212,SPX,20220525,3929.59,3978.73,3999.33,3925.03,3941.48,2334089.0
213,SPX,20220524,3942.94,3941.48,3955.68,3875.13,3973.75,2436606.0
214,SPX,20220523,3919.42,3973.75,3981.88,3909.04,3901.36,2388209.0
215,SPX,20220520,3927.76,3901.36,3943.42,3810.32,3900.79,3002385.0
216,SPX,20220519,3899.0,3900.79,3945.96,3876.58,3923.68,2774295.0
217,SPX,20220518,4051.98,3923.68,4051.98,3911.91,4088.85,2712127.0
218,SPX,20220517,4052.0,4088.85,4090.72,4033.93,4008.01,2458410.0
219,SPX,20220516,4013.02,4008.01,4046.46,3983.99,4023.89,2213705.0
220,SPX,20220513,3963.9,4023.89,4038.88,3963.9,3930.08,2544978.0
221,SPX,20220512,3903.95,3930.08,3964.8,3858.87,3935.18,3139788.0
222,SPX,20220511,3990.08,3935.18,4049.09,3928.82,4001.05,2763949.0
223,SPX,20220510,4035.18,4001.05,4068.82,3958.17,3991.24,2918623.0
224,SPX,20220509,4081.27,3991.24,4081.27,3975.48,4123.34,3073865.0
225,SPX,20220506,4128.17,4123.34,4157.69,4067.91,4146.87,2737831.0
226,SPX,20220505,4270.43,4146.87,4270.43,4106.01,4300.17,2869932.0
227,SPX,20220504,4181.18,4300.17,4307.66,4148.91,4175.48,2872027.0
228,SPX,20220503,4159.78,4175.48,4200.1,4147.08,4155.38,2494450.0
229,SPX,20220502,4130.61,4155.38,4169.81,4062.51,4131.93,2744838.0
230,SPX,20220429,4253.75,4131.93,4269.68,4124.28,4287.5,2848565.0
231,SPX,20220428,4222.58,4287.5,4308.45,4188.63,4183.96,2749226.0
232,SPX,20220427,4186.52,4183.96,4240.71,4162.9,4175.2,2636232.0
233,SPX,20220426,4278.14,4175.2,4278.14,4175.04,4296.12,2637224.0
234,SPX,20220425,4255.34,4296.12,4299.02,4200.82,4271.78,2839259.0
235,SPX,20220422,4385.83,4271.78,4385.83,4267.62,4393.66,2491087.0
236,SPX,20220421,4489.17,4393.66,4512.94,4384.47,4459.45,2637238.0
237,SPX,20220420,4472.26,4459.45,4488.29,4448.76,4462.21,2380185.0
238,SPX,20220419,4390.63,4462.21,4471.03,4390.63,4391.69,2247365.0
239,SPX,20220418,4385.63,4391.69,4410.31,4370.3,4392.59,2050678.0
240,SPX,20220414,4449.12,4392.59,4460.46,4390.77,4446.59,2470867.0
241,SPX,20220413,4394.3,4446.59,4453.92,4392.7,4397.45,2169385.0
242,SPX,20220412,4437.59,4397.45,4471.0,4381.34,4412.53,2208450.0
243,SPX,20220411,4462.64,4412.53,4464.35,4408.38,4488.28,2403901.0
244,SPX,20220408,4494.15,4488.28,4520.41,4474.6,4500.21,2253618.0
245,SPX,20220407,4474.65,4500.21,4521.16,4450.3,4481.15,2596329.0
246,SPX,20220406,4494.17,4481.15,4503.94,4450.04,4525.12,2720108.0
247,SPX,20220405,4572.45,4525.12,4593.45,4514.17,4582.64,2425248.0
248,SPX,20220404,4547.97,4582.64,4583.5,4539.21,4545.86,2278755.0
249,SPX,20220401,4540.32,4545.86,4548.7,4507.57,4530.41,2346498.0
250,SPX,20220331,4599.02,4530.41,4603.07,4530.41,4602.45,2646678.0
251,SPX,20220330,4624.2,4602.45,4627.77,4581.32,4631.6,2083193.0
252,SPX,20220329,4602.86,4631.6,4637.3,4589.66,4575.52,2443956.0
253,SPX,20220328,4541.09,4575.52,4575.65,4517.69,4543.06,2019463.0
254,SPX,20220325,4522.91,4543.06,4546.03,4501.07,4520.16,2000936.0
255,SPX,20220324,4469.98,4520.16,4520.58,4465.17,4456.24,2073154.0
256,SPX,20220323,4493.1,4456.24,4501.07,4455.81,4511.61,2184940.0
257,SPX,20220322,4469.1,4511.61,4522.0,4469.1,4461.18,2340976.0
258,SPX,20220321,4462.4,4461.18,4481.75,4424.3,4463.12,2469825.0
259,SPX,20220318,4407.34,4463.12,4465.4,4390.57,4411.67,4233761.0
260,SPX,20220317,4345.11,4411.67,4412.67,4335.65,4357.86,2432767.0
261,SPX,20220316,4288.14,4357.86,4358.9,4251.99,4262.45,2926598.0
262,SPX,20220315,4188.82,4262.45,4271.05,4187.9,4173.11,2636945.0
263,SPX,20220314,4202.75,4173.11,4247.57,4161.72,4204.31,2717144.0
264,SPX,20220311,4279.5,4204.31,4291.01,4200.49,4259.52,2338436.0
265,SPX,20220310,4252.55,4259.52,4268.28,4209.8,4277.88,2581146.0
266,SPX,20220309,4223.1,4277.88,4299.4,4223.1,4170.7,3021442.0
267,SPX,20220308,4202.66,4170.7,4276.94,4157.87,4201.09,3639338.0
268,SPX,20220307,4327.01,4201.09,4327.01,4199.85,4328.87,3513067.0
269,SPX,20220304,4342.12,4328.87,4342.12,4284.98,4363.49,2997074.0
270,SPX,20220303,4401.31,4363.49,4416.78,4345.56,4386.54,2619511.0
271,SPX,20220302,4322.56,4386.54,4401.48,4322.56,4306.26,2867998.0
272,SPX,20220301,4363.14,4306.26,4378.45,4279.54,4373.94,3144860.0
273,SPX,20220228,4354.17,4373.94,4388.84,4315.12,4384.65,3219433.0
274,SPX,20220225,4298.38,4384.65,4385.34,4286.83,4288.7,2707793.0
275,SPX,20220224,4155.77,4288.7,4294.73,4114.65,4225.5,3565761.0
276,SPX,20220223,4324.93,4225.5,4341.51,4221.51,4304.76,2512418.0
277,SPX,20220222,4332.74,4304.76,4362.12,4267.11,4348.87,2749521.0
278,SPX,20220218,4384.57,4348.87,4394.6,4327.22,4380.26,2583640.0
279,SPX,20220217,4456.06,4380.26,4456.06,4373.81,4475.01,2324910.0
280,SPX,20220216,4455.75,4475.01,4489.55,4429.68,4471.07,2334610.0
281,SPX,20220215,4429.28,4471.07,4472.77,4429.28,4401.67,2322886.0
282,SPX,20220214,4412.61,4401.67,4426.22,4364.84,4418.64,2511712.0
283,SPX,20220211,4506.27,4418.64,4526.33,4401.41,4504.08,2874707.0
284,SPX,20220210,4553.24,4504.08,4588.92,4484.31,4587.18,2689894.0
285,SPX,20220209,4547.0,4587.18,4590.03,4547.0,4521.54,2416699.0
286,SPX,20220208,4480.02,4521.54,4531.32,4465.4,4483.87,2531698.0
287,SPX,20220207,4505.75,4483.87,4521.86,4471.47,4500.53,2363932.0
288,SPX,20220204,4482.79,4500.53,4539.66,4451.5,4477.44,2640944.0
289,SPX,20220203,4535.41,4477.44,4542.88,4470.39,4589.38,2686460.0
290,SPX,20220202,4566.39,4589.38,4595.31,4544.32,4546.54,2903951.0
291,SPX,20220201,4519.57,4546.54,4550.49,4483.53,4515.55,2712734.0
292,SPX,20220131,4431.79,4515.55,4516.89,4414.02,4431.85,2963155.0
293,SPX,20220128,4336.19,4431.85,4432.72,4292.46,4326.51,2913164.0
294,SPX,20220127,4380.58,4326.51,4428.74,4309.5,4349.93,3040760.0
295,SPX,20220126,4408.43,4349.93,4453.23,4304.8,4356.45,3230985.0
296,SPX,20220125,4366.64,4356.45,4411.01,4287.11,4410.13,3056989.0
297,SPX,20220124,4356.32,4410.13,4417.35,4222.62,4397.94,3891582.0
298,SPX,20220121,4471.38,4397.94,4494.52,4395.34,4482.73,3196965.0
299,SPX,20220120,4547.35,4482.73,4602.11,4477.95,4532.76,2541011.0
300,SPX,20220119,4588.03,4532.76,4611.55,4530.2,4577.11,2483432.0
301,SPX,20220118,4632.24,4577.11,4632.24,4568.7,4662.85,2737270.0
302,SPX,20220114,4637.99,4662.85,4665.13,4614.75,4659.03,2521962.0
303,SPX,20220113,4733.56,4659.03,4744.13,4650.29,4726.35,2374649.0
304,SPX,20220112,4728.59,4726.35,4748.83,4706.71,4713.07,2117379.0
305,SPX,20220111,4669.14,4713.07,4714.13,4638.27,4670.29,2243983.0
306,SPX,20220110,4655.34,4670.29,4673.02,4582.24,4677.03,2675794.0
307,SPX,20220107,4697.66,4677.03,4707.95,4662.74,4696.05,2416097.0
308,SPX,20220106,4693.39,4696.05,4725.01,4671.26,4700.58,2379823.0
309,SPX,20220105,4787.99,4700.58,4797.7,4699.44,4793.54,2803729.0
310,SPX,20220104,4804.51,4793.54,4818.62,4774.27,4796.56,2813805.0
311,SPX,20220103,4778.14,4796.56,4796.64,4758.17,4766.18,2209533.0
312,SPX,20211231,4775.21,4766.18,4786.83,4765.75,4778.73,1340241.0
313,SPX,20211230,4794.23,4778.73,4808.93,4775.33,4793.06,1353706.0
314,SPX,20211229,4788.64,4793.06,4804.06,4778.08,4786.35,1354786.0
315,SPX,20211228,4795.49,4786.35,4807.02,4780.04,4791.19,1425098.0
316,SPX,20211227,4733.99,4791.19,4791.49,4733.99,4725.79,1505329.0
317,SPX,20211223,4703.96,4725.79,4740.74,4703.96,4696.56,1594292.0
318,SPX,20211222,4650.36,4696.56,4697.67,4645.53,4649.23,1844650.0
319,SPX,20211221,4594.96,4649.23,4651.14,4583.16,4568.02,2260148.0
320,SPX,20211220,4587.9,4568.02,4587.9,4531.1,4620.64,2433982.0
321,SPX,20211217,4652.5,4620.64,4666.7,4600.22,4668.67,4578985.0
322,SPX,20211216,4719.13,4668.67,4731.99,4651.89,4709.85,2745738.0
323,SPX,20211215,4636.46,4709.85,4712.6,4611.22,4634.09,2561140.0
324,SPX,20211214,4642.99,4634.09,4660.47,4606.52,4668.97,2454381.0
325,SPX,20211213,4710.3,4668.97,4710.3,4667.6,4712.02,2426215.0
